Code postal,Localité,Sous-commune,Commune principale,Province
2970,'S Gravenwezel,Oui,SCHILDE,ANVERS
3700,'S Herenelderen,Oui,TONGEREN,LIMBOURG
7510,3 Suisses,,3 Suisses,
9420,Aaigem,Oui,ERPE-MERE,FLANDRE-ORIENTALE
8511,Aalbeke,Oui,KORTRIJK,FLANDRE-OCCIDENTALE
3800,Aalst,Oui,SINT-TRUIDEN,LIMBOURG
9300,Aalst,Non,AALST,FLANDRE-ORIENTALE
9880,Aalter,Non,AALTER,FLANDRE-ORIENTALE
3200,Aarschot,Non,AARSCHOT,BRABANT FLAMAND
8700,Aarsele,Oui,TIELT,FLANDRE-OCCIDENTALE
8211,Aartrijke,Oui,ZEDELGEM,FLANDRE-OCCIDENTALE
2630,Aartselaar,Non,AARTSELAAR,ANVERS
4557,Abée,Oui,TINLOT,LIEGE
4280,Abolens,Oui,HANNUT,LIEGE
3930,Achel,Oui,HAMONT-ACHEL,LIMBOURG
5590,Achêne,Oui,CINEY,NAMUR
5362,Achet,Oui,HAMOIS,NAMUR
4219,Acosse,Oui,WASSEIGES,LIEGE
6280,Acoz,Oui,GERPINNES,HAINAUT
1105,ACTISOC,,ACTISOC,
9991,Adegem,Oui,MALDEGEM,FLANDRE-ORIENTALE
8660,Adinkerke,Oui,DE PANNE,FLANDRE-OCCIDENTALE
1790,Affligem,Non,AFFLIGEM,BRABANT FLAMAND
9051,Afsnee,Oui,GENT,FLANDRE-ORIENTALE
5544,Agimont,Oui,HASTIÈRE,NAMUR
4317,Aineffe,Oui,FAIMES,LIEGE
5310,Aische-En-Refail,Oui,EGHEZÉE,NAMUR
6250,Aiseau,Oui,AISEAU-PRESLES,HAINAUT
5070,Aisemont,Oui,FOSSES-LA-VILLE,NAMUR
3570,Alken,Non,ALKEN,LIMBOURG
5550,Alle,Oui,VRESSE-SUR-SEMOIS,NAMUR
4432,Alleur,Oui,ANS,LIEGE
1652,Alsemberg,Oui,BEERSEL,BRABANT FLAMAND
8690,Alveringem,Non,ALVERINGEM,FLANDRE-OCCIDENTALE
4540,Amay,Non,AMAY,LIEGE
6680,Amberloup,Oui,SAINTE-ODE,LUXEMBOURG
4770,Amblève,Non,AMBLÈVE,LIEGE
6953,Ambly,Oui,NASSOGNE,LUXEMBOURG
4219,Ambresin,Oui,WASSEIGES,LIEGE
6997,Amonines,Oui,EREZÉE,LUXEMBOURG
7750,Amougies,Oui,MONT-DE-L'ENCLUS,HAINAUT
4540,Ampsin,Oui,AMAY,LIEGE
5300,Andenne,Non,ANDENNE,NAMUR
1070,Anderlecht,Non,ANDERLECHT,BRUXELLES
6150,Anderlues,Non,ANDERLUES,HAINAUT
4821,Andrimont,Oui,DISON,LIEGE
4031,Angleur,Oui,LIÈGE,LIEGE
7387,Angre,Oui,HONNELLES,HAINAUT
7387,Angreau,Oui,HONNELLES,HAINAUT
5537,Anhée,Non,ANHÉE,NAMUR
6721,Anlier,Oui,HABAY,LUXEMBOURG
6890,Anloy,Oui,LIBIN,LUXEMBOURG
5537,Annevoie-Rouillon,Oui,ANHÉE,NAMUR
4430,Ans,Non,ANS,LIEGE
5500,Anseremme,Oui,DINANT,NAMUR
7750,Anseroeul,Oui,MONT-DE-L'ENCLUS,HAINAUT
5520,Anthée,Oui,ONHAYE,NAMUR
4520,Antheit,Oui,WANZE,LIEGE
4160,Anthisnes,Non,ANTHISNES,LIEGE
7640,Antoing,Non,ANTOING,HAINAUT
2000,Antwerpen,Non,ANTWERPEN,ANVERS
2018,Antwerpen,Non,ANTWERPEN,ANVERS
2020,Antwerpen,Non,ANTWERPEN,ANVERS
2030,Antwerpen,Non,ANTWERPEN,ANVERS
2040,Antwerpen,Non,ANTWERPEN,ANVERS
2050,Antwerpen,Non,ANTWERPEN,ANVERS
2060,Antwerpen,Non,ANTWERPEN,ANVERS
2099,Antwerpen x,,Antwerpen x,
7910,Anvaing,Oui,FRASNES-LEZ-ANVAING,HAINAUT
8570,Anzegem,Non,ANZEGEM,FLANDRE-OCCIDENTALE
9200,Appels,Oui,DENDERMONDE,FLANDRE-ORIENTALE
9400,Appelterre-Eichem,Oui,NINOVE,FLANDRE-ORIENTALE
5170,Arbre,Oui,PROFONDEVILLE,NAMUR
7811,Arbre,Oui,ATH,HAINAUT
4990,Arbrefontaine,Oui,LIERNEUX,LIEGE
7910,Arc-Ainières,Oui,FRASNES-LEZ-ANVAING,HAINAUT
7910,Arc-Wattripont,Oui,FRASNES-LEZ-ANVAING,HAINAUT
1390,Archennes,Oui,GREZ-DOICEAU,BRABANT WALLON
